token_id,mint_tx_hash,mint_block,minter_recipient,collection_contract,tx_from,tx_to,tx_value_mon,classification,evidence_type,evidence_tx_hash,evidence_contract,amount_mon_attributed,notes
1,0x7bf2aa78232fa87819111e7ac0e02bc469e573f77e9897b8d403bc1a02620124,67220770,0xf10ed040f182511ef2179adea749920881a4eef9,0x200723A706de0013316E5cd8EBa2b3f53DD90c29,0xf10ed040f182511ef2179adea749920881a4eef9,0x200723a706de0013316e5cd8eba2b3f53dd90c29,0,free_mint,zero_value_no_payment_trace,0x7bf2aa78232fa87819111e7ac0e02bc469e573f77e9897b8d403bc1a02620124,,0,No native tx value or internal payment to the collection was found in committed evidence files.
2,0x7bf2aa78232fa87819111e7ac0e02bc469e573f77e9897b8d403bc1a02620124,67220770,0xf10ed040f182511ef2179adea749920881a4eef9,0x200723A706de0013316E5cd8EBa2b3f53DD90c29,0xf10ed040f182511ef2179adea749920881a4eef9,0x200723a706de0013316e5cd8eba2b3f53dd90c29,0,free_mint,zero_value_no_payment_trace,0x7bf2aa78232fa87819111e7ac0e02bc469e573f77e9897b8d403bc1a02620124,,0,No native tx value or internal payment to the collection was found in committed evidence files.
3,0x7bf2aa78232fa87819111e7ac0e02bc469e573f77e9897b8d403bc1a02620124,67220770,0xf10ed040f182511ef2179adea749920881a4eef9,0x200723A706de0013316E5cd8EBa2b3f53DD90c29,0xf10ed040f182511ef2179adea749920881a4eef9,0x200723a706de0013316e5cd8eba2b3f53dd90c29,0,free_mint,zero_value_no_payment_trace,0x7bf2aa78232fa87819111e7ac0e02bc469e573f77e9897b8d403bc1a02620124,,0,No native tx value or internal payment to the collection was found in committed evidence files.
4,0x7bf2aa78232fa87819111e7ac0e02bc469e573f77e9897b8d403bc1a02620124,67220770,0xf10ed040f182511ef2179adea749920881a4eef9,0x200723A706de0013316E5cd8EBa2b3f53DD90c29,0xf10ed040f182511ef2179adea749920881a4eef9,0x200723a706de0013316e5cd8eba2b3f53dd90c29,0,free_mint,zero_value_no_payment_trace,0x7bf2aa78232fa87819111e7ac0e02bc469e573f77e9897b8d403bc1a02620124,,0,No native tx value or internal payment to the collection was found in committed evidence files.
5,0x7bf2aa78232fa87819111e7ac0e02bc469e573f77e9897b8d403bc1a02620124,67220770,0xf10ed040f182511ef2179adea749920881a4eef9,0x200723A706de0013316E5cd8EBa2b3f53DD90c29,0xf10ed040f182511ef2179adea749920881a4eef9,0x200723a706de0013316e5cd8eba2b3f53dd90c29,0,free_mint,zero_value_no_payment_trace,0x7bf2aa78232fa87819111e7ac0e02bc469e573f77e9897b8d403bc1a02620124,,0,No native tx value or internal payment to the collection was found in committed evidence files.
6,0x7bf2aa78232fa87819111e7ac0e02bc469e573f77e9897b8d403bc1a02620124,67220770,0xf10ed040f182511ef2179adea749920881a4eef9,0x200723A706de0013316E5cd8EBa2b3f53DD90c29,0xf10ed040f182511ef2179adea749920881a4eef9,0x200723a706de0013316e5cd8eba2b3f53dd90c29,0,free_mint,zero_value_no_payment_trace,0x7bf2aa78232fa87819111e7ac0e02bc469e573f77e9897b8d403bc1a02620124,,0,No native tx value or internal payment to the collection was found in committed evidence files.
7,0x7bf2aa78232fa87819111e7ac0e02bc469e573f77e9897b8d403bc1a02620124,67220770,0xf10ed040f182511ef2179adea749920881a4eef9,0x200723A706de0013316E5cd8EBa2b3f53DD90c29,0xf10ed040f182511ef2179adea749920881a4eef9,0x200723a706de0013316e5cd8eba2b3f53dd90c29,0,free_mint,zero_value_no_payment_trace,0x7bf2aa78232fa87819111e7ac0e02bc469e573f77e9897b8d403bc1a02620124,,0,No native tx value or internal payment to the collection was found in committed evidence files.
8,0x7bf2aa78232fa87819111e7ac0e02bc469e573f77e9897b8d403bc1a02620124,67220770,0xf10ed040f182511ef2179adea749920881a4eef9,0x200723A706de0013316E5cd8EBa2b3f53DD90c29,0xf10ed040f182511ef2179adea749920881a4eef9,0x200723a706de0013316e5cd8eba2b3f53dd90c29,0,free_mint,zero_value_no_payment_trace,0x7bf2aa78232fa87819111e7ac0e02bc469e573f77e9897b8d403bc1a02620124,,0,No native tx value or internal payment to the collection was found in committed evidence files.
9,0x7bf2aa78232fa87819111e7ac0e02bc469e573f77e9897b8d403bc1a02620124,67220770,0xf10ed040f182511ef2179adea749920881a4eef9,0x200723A706de0013316E5cd8EBa2b3f53DD90c29,0xf10ed040f182511ef2179adea749920881a4eef9,0x200723a706de0013316e5cd8eba2b3f53dd90c29,0,free_mint,zero_value_no_payment_trace,0x7bf2aa78232fa87819111e7ac0e02bc469e573f77e9897b8d403bc1a02620124,,0,No native tx value or internal payment to the collection was found in committed evidence files.
10,0x7bf2aa78232fa87819111e7ac0e02bc469e573f77e9897b8d403bc1a02620124,67220770,0xf10ed040f182511ef2179adea749920881a4eef9,0x200723A706de0013316E5cd8EBa2b3f53DD90c29,0xf10ed040f182511ef2179adea749920881a4eef9,0x200723a706de0013316e5cd8eba2b3f53dd90c29,0,free_mint,zero_value_no_payment_trace,0x7bf2aa78232fa87819111e7ac0e02bc469e573f77e9897b8d403bc1a02620124,,0,No native tx value or internal payment to the collection was found in committed evidence files.
11,0x7bf2aa78232fa87819111e7ac0e02bc469e573f77e9897b8d403bc1a02620124,67220770,0xf10ed040f182511ef2179adea749920881a4eef9,0x200723A706de0013316E5cd8EBa2b3f53DD90c29,0xf10ed040f182511ef2179adea749920881a4eef9,0x200723a706de0013316e5cd8eba2b3f53dd90c29,0,free_mint,zero_value_no_payment_trace,0x7bf2aa78232fa87819111e7ac0e02bc469e573f77e9897b8d403bc1a02620124,,0,No native tx value or internal payment to the collection was found in committed evidence files.
12,0x7bf2aa78232fa87819111e7ac0e02bc469e573f77e9897b8d403bc1a02620124,67220770,0xf10ed040f182511ef2179adea749920881a4eef9,0x200723A706de0013316E5cd8EBa2b3f53DD90c29,0xf10ed040f182511ef2179adea749920881a4eef9,0x200723a706de0013316e5cd8eba2b3f53dd90c29,0,free_mint,zero_value_no_payment_trace,0x7bf2aa78232fa87819111e7ac0e02bc469e573f77e9897b8d403bc1a02620124,,0,No native tx value or internal payment to the collection was found in committed evidence files.
13,0x7bf2aa78232fa87819111e7ac0e02bc469e573f77e9897b8d403bc1a02620124,67220770,0xf10ed040f182511ef2179adea749920881a4eef9,0x200723A706de0013316E5cd8EBa2b3f53DD90c29,0xf10ed040f182511ef2179adea749920881a4eef9,0x200723a706de0013316e5cd8eba2b3f53dd90c29,0,free_mint,zero_value_no_payment_trace,0x7bf2aa78232fa87819111e7ac0e02bc469e573f77e9897b8d403bc1a02620124,,0,No native tx value or internal payment to the collection was found in committed evidence files.
