paymentSource,blockNumber,timeStamp,hash,from,to,tokenContract,tokenSymbol,rawValue,amountMON,traceId,isError,hasNftTransfer,hasSecondaryNftTransfer,nftTransferCount,nftSecondaryTransferCount,nftTokenIds,nftSecondaryTokenIds,receiptStatus,error
NATIVE_INTERNAL,67226192,1775835586,0x97528e693302391f7b4fa6a09f058db5ca4920ec0ceede15333c5d8e8ffbdce5,0x0000000000000068f116a894984e2db1123eb395,0x40ea55e0b8f02f8ebc9d91e082e202ed988647fa,native,MON,150000000000000000000,150,0_1_1_1,0,true,true,1,1,341,341,0x1,
NATIVE_INTERNAL,67226461,1775835693,0x7eef6186ed02953b11393ab14e2566358dbed03c728010df05fd69e1a9d9f998,0x0000000000000068f116a894984e2db1123eb395,0x40ea55e0b8f02f8ebc9d91e082e202ed988647fa,native,MON,180000000000000000000,180,0_1,0,true,true,1,1,210,210,0x1,
WMON_ERC20,67226646,1775835767,0xf0fa6cde648ea5c049bc06645d50a69335affe0f0b792987be1a095b1b5aa862,0x5935ba4be0d2abe85f5d8fbeb89325ef281f12fc,0x40ea55e0b8f02f8ebc9d91e082e202ed988647fa,0x3bd359c1119da7da1d913d1c4d2b7c461115433a,WMON,135000000000000000000,135,,0,true,true,1,1,200,200,0x1,
WMON_ERC20,67229047,1775836730,0x9b10fbe192bcfceba1bdc719bc39c3fa9a4933351e84a3f5d615e7368380c31f,0xc980c64971aa070ffe2074ed8e611eedbac1c9f9,0x40ea55e0b8f02f8ebc9d91e082e202ed988647fa,0x3bd359c1119da7da1d913d1c4d2b7c461115433a,WMON,75050000000000000000,75.05,,0,true,true,1,1,384,384,0x1,
NATIVE_INTERNAL,67229072,1775836740,0x46e261afcdaf1019805b7547005fb8453fc6e7e047a26c87ab962fe626a17471,0x0000000000000068f116a894984e2db1123eb395,0x40ea55e0b8f02f8ebc9d91e082e202ed988647fa,native,MON,102500000000000000000,102.5,0_1_1_1,0,true,true,1,1,477,477,0x1,
WMON_ERC20,67231001,1775837524,0xd4251caeeccdca40edb7805e594e07a0811d953a996434dc3905648184ae1607,0xcb7db076b6b12dd5aafc2dee4f2af23bf66742d7,0x40ea55e0b8f02f8ebc9d91e082e202ed988647fa,0x3bd359c1119da7da1d913d1c4d2b7c461115433a,WMON,80100000000000000000,80.1,,0,true,true,1,1,459,459,0x1,
WMON_ERC20,67231459,1775837708,0xc35ac640beb85e61588fac3f3fd21fd7cb8d93da91be00929cc61331befa5ee3,0xbcc24929108278944aa180ff8322b900356f7701,0x40ea55e0b8f02f8ebc9d91e082e202ed988647fa,0x3bd359c1119da7da1d913d1c4d2b7c461115433a,WMON,80000000000000000000,80,,0,true,true,1,1,450,450,0x1,
WMON_ERC20,67232175,1775837993,0x9c083cfadc175b5b485cec400abd199d4a1b2abfbd2cc056b39ae2791a51d819,0xbcc24929108278944aa180ff8322b900356f7701,0x40ea55e0b8f02f8ebc9d91e082e202ed988647fa,0x3bd359c1119da7da1d913d1c4d2b7c461115433a,WMON,80000000000000000000,80,,0,true,true,1,1,549,549,0x1,
NATIVE_INTERNAL,67232617,1775838169,0xd4eaec050cf37445ba3113f8e0a8951269d9bf2192ae0e2db77cda6cc979e9af,0x0000000000000068f116a894984e2db1123eb395,0x40ea55e0b8f02f8ebc9d91e082e202ed988647fa,native,MON,100000000000000000000,100,0_1_1_1,0,true,true,1,1,256,256,0x1,
WMON_ERC20,67232694,1775838201,0xf2bf71ee8d2a8b1e912c867b8cf3a635b71e07c0e7b4701b5a4b3b69bc3c98ec,0xcb7db076b6b12dd5aafc2dee4f2af23bf66742d7,0x40ea55e0b8f02f8ebc9d91e082e202ed988647fa,0x3bd359c1119da7da1d913d1c4d2b7c461115433a,WMON,80050000000000000000,80.05,,0,true,true,1,1,335,335,0x1,
