tx_hash,block,timestamp,royalty_wallet,asset,amount_raw,amount_mon_normalized,nft_contract,token_ids_transferred,transfer_from,transfer_to,marketplace_or_contract_if_identified,matching_evidence,confidence,notes
0x97528e693302391f7b4fa6a09f058db5ca4920ec0ceede15333c5d8e8ffbdce5,67226192,1775835586,0x40Ea55E0b8f02f8eBc9D91e082e202ed988647fA,MON,150000000000000000000,150,0x200723A706de0013316E5cd8EBa2b3f53DD90c29,341,0xa08752953188209f639a5bcbabb8967f2c4190ad,0xbf6d8b985634485218cd1fcc651144df4bd593e3,,same transaction contains inbound payment to royalty wallet and secondary ERC721 Transfer from collection,high,Heuristic match; can include false positives/negatives if marketplace routing is non-standard.
0x7eef6186ed02953b11393ab14e2566358dbed03c728010df05fd69e1a9d9f998,67226461,1775835693,0x40Ea55E0b8f02f8eBc9D91e082e202ed988647fA,MON,180000000000000000000,180,0x200723A706de0013316E5cd8EBa2b3f53DD90c29,210,0xd8574ca25f0dd37c400b5613527e94126a094e34,0x0077c2093fd8e6a6277b84c2627619b80a72472b,,same transaction contains inbound payment to royalty wallet and secondary ERC721 Transfer from collection,high,Heuristic match; can include false positives/negatives if marketplace routing is non-standard.
0xf0fa6cde648ea5c049bc06645d50a69335affe0f0b792987be1a095b1b5aa862,67226646,1775835767,0x40Ea55E0b8f02f8eBc9D91e082e202ed988647fA,WMON,135000000000000000000,135,0x200723A706de0013316E5cd8EBa2b3f53DD90c29,200,0x1b2d134fc716561afbf8ccef56568d18c28a34aa,0x5935ba4be0d2abe85f5d8fbeb89325ef281f12fc,,same transaction contains inbound payment to royalty wallet and secondary ERC721 Transfer from collection,high,Heuristic match; can include false positives/negatives if marketplace routing is non-standard.
0x9b10fbe192bcfceba1bdc719bc39c3fa9a4933351e84a3f5d615e7368380c31f,67229047,1775836730,0x40Ea55E0b8f02f8eBc9D91e082e202ed988647fA,WMON,75050000000000000000,75.05,0x200723A706de0013316E5cd8EBa2b3f53DD90c29,384,0x7ab4db3c4e8484b51c6d467640ed490a0efc4497,0xc980c64971aa070ffe2074ed8e611eedbac1c9f9,,same transaction contains inbound payment to royalty wallet and secondary ERC721 Transfer from collection,high,Heuristic match; can include false positives/negatives if marketplace routing is non-standard.
0x46e261afcdaf1019805b7547005fb8453fc6e7e047a26c87ab962fe626a17471,67229072,1775836740,0x40Ea55E0b8f02f8eBc9D91e082e202ed988647fA,MON,102500000000000000000,102.5,0x200723A706de0013316E5cd8EBa2b3f53DD90c29,477,0xde15769bcd6c60d56e993841f77deddb7f5c29e5,0x2a16e31b4018fc313a275cd5105fe98156568fd3,,same transaction contains inbound payment to royalty wallet and secondary ERC721 Transfer from collection,high,Heuristic match; can include false positives/negatives if marketplace routing is non-standard.
0xd4251caeeccdca40edb7805e594e07a0811d953a996434dc3905648184ae1607,67231001,1775837524,0x40Ea55E0b8f02f8eBc9D91e082e202ed988647fA,WMON,80100000000000000000,80.1,0x200723A706de0013316E5cd8EBa2b3f53DD90c29,459,0x25175de9eb8c5d9aa82bd65ceedf1dfe435dec9f,0xcb7db076b6b12dd5aafc2dee4f2af23bf66742d7,,same transaction contains inbound payment to royalty wallet and secondary ERC721 Transfer from collection,high,Heuristic match; can include false positives/negatives if marketplace routing is non-standard.
0xc35ac640beb85e61588fac3f3fd21fd7cb8d93da91be00929cc61331befa5ee3,67231459,1775837708,0x40Ea55E0b8f02f8eBc9D91e082e202ed988647fA,WMON,80000000000000000000,80,0x200723A706de0013316E5cd8EBa2b3f53DD90c29,450,0xa115cd20434a5f65d62b028bc28b897477b60d88,0xbcc24929108278944aa180ff8322b900356f7701,,same transaction contains inbound payment to royalty wallet and secondary ERC721 Transfer from collection,high,Heuristic match; can include false positives/negatives if marketplace routing is non-standard.
0x9c083cfadc175b5b485cec400abd199d4a1b2abfbd2cc056b39ae2791a51d819,67232175,1775837993,0x40Ea55E0b8f02f8eBc9D91e082e202ed988647fA,WMON,80000000000000000000,80,0x200723A706de0013316E5cd8EBa2b3f53DD90c29,549,0x41ccd7cfe46ede6ecf0a841c9a7afcd7599c254a,0xbcc24929108278944aa180ff8322b900356f7701,,same transaction contains inbound payment to royalty wallet and secondary ERC721 Transfer from collection,high,Heuristic match; can include false positives/negatives if marketplace routing is non-standard.
0xd4eaec050cf37445ba3113f8e0a8951269d9bf2192ae0e2db77cda6cc979e9af,67232617,1775838169,0x40Ea55E0b8f02f8eBc9D91e082e202ed988647fA,MON,100000000000000000000,100,0x200723A706de0013316E5cd8EBa2b3f53DD90c29,256,0x7a073bfd2840e32885ab679b203cebe673839bbb,0xc8e66291fc15b6392d56ac2ef3db3ce4fd8c070a,,same transaction contains inbound payment to royalty wallet and secondary ERC721 Transfer from collection,high,Heuristic match; can include false positives/negatives if marketplace routing is non-standard.
0xf2bf71ee8d2a8b1e912c867b8cf3a635b71e07c0e7b4701b5a4b3b69bc3c98ec,67232694,1775838201,0x40Ea55E0b8f02f8eBc9D91e082e202ed988647fA,WMON,80050000000000000000,80.05,0x200723A706de0013316E5cd8EBa2b3f53DD90c29,335,0xf56f4e369f8523c5374e527b51a37ed4fae144f8,0xcb7db076b6b12dd5aafc2dee4f2af23bf66742d7,,same transaction contains inbound payment to royalty wallet and secondary ERC721 Transfer from collection,high,Heuristic match; can include false positives/negatives if marketplace routing is non-standard.
